manufactor,Year,model,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test,Supply_score
פולקסווגן,2017,גולף,2,אוטומטית,1400,בנזין,,,,סח'נין,77000.0,1.0,27/04/2022,27/04/2022,"['רכב במצב מצוין ומטופל היטב,טרנדליין מנוע טורבו 1400, יד 01. חסכונית מאוד בדלק. שמורה, ללא תאונות, חיישני רוורס ומצלמת רוורס ועוד']",,114000,,
סובארו,2012,B4,2,טיפטרוניק,2000,בנזין,,,טבריה והסביבה,ארבל,30000.0,14.0,24/06/2022,24/06/2022,"[""רכב שמור בקנאות מטופל במוסך מרכזי סובארו + ספר טיפולים שמור מאוד מאוד כמו חדש. אצלי מ 60.000 ק'מ\r\nמותקן וו גרירה מקורי""]",,147000,,264.0
סיטרואן,2017,C3,2,טיפטרוניק,1200,בנזין,,,מודיעין והסביבה,מודיעין מכבים רעות,56000.0,1.0,03/08/2022,03/08/2022,"['C3 SH PK \r\n, מודל 10/2017\r\n1.2 טורבו (110 כ""ס) , זריז וגם חסכוני\r\n יד 2 מפרטי-שמור ומטופל, \r\n108,000 ק""מ – מחירון\r\n &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; shine pack , הדגם המפואר ביותר- גג לבן, ריפוד משולב קולירדו. שלל תוספות בטיחות: התראת סטיה מנתיב, התראת שטח מת במראות, הגבלת וזיהוי מהירות, קרוז קונטרול, מולטימדיה מלא ועוד']",,108000,,1238.0
קיה,2014,פיקנטו,2,אוטומטית,1248,בנזין,,,חיפה וחוף הכרמל,טירת כרמל,42000.0,1.0,18/07/2022,18/07/2022,['רכב. במצב מצויין מטופל בזמן יד פרטית'],,101500,,14.0
סקודה,2015,סקודה אוקטביה (2015),2,אוטומטית,"1,200",בנזין,פרטית,פרטית,באר שבע והסביבה,באר שבע,55000.0,1.0,22/06/2023,22/06/2023,[nan],שחור,,,
יונדאי,2011,i10,4,אוטומטית,"1,200",בנזין,השכרה,פרטית,ירושלים והסביבה,ירושלים,25000.0,4.0,28/11/2022,28/11/2022,['רכב מעולה חסכוני מאוד בדלק \nיש מובילאי \nמזגן מעולה \nעם 77000 קילומטר בלבד'],כחול,"77,000",,
הונדה,2015,סיוויק,1,אוטומטית,1600,בנזין,פרטית,פרטית,חולון - בת ים,בת ים,49000.0,5.0,28/08/2023,11/03/2024,['שמורה היטב ללא תאונות\nדגם האצבק '],כסוף,100000,,
קיה,2015,פיקנטו,3,אוטומטית,1250,בנזין,,,נתניה והסביבה,נתניה,43000.0,1.0,04/07/2022,04/07/2022,"['מנוע 1250 אוטומט, לא היה בהשכרה או ליסינג. פרטי לחלוטין, שמור אין אף תיקון צבע.']",,115000,,20.0
יונדאי,2015,i20,1,אוטומטית,1368,בנזין,,,תל אביב,תל אביב יפו,60000.0,1.0,25/10/2022,25/10/2022,"['יונדאי i20 אינספייר החדשה\r\nבבעלותה של אמי בת ה 75 שהפסיקה לנהוג\r\n1. רכב יד ראשונה\r\n2. נסע רק 28,000 קמ ובמצב מצוין.\r\n3. מתחייב לשילדה, מנוע וגיר בבדיקה\r\n4. טסט עד ספ׳ 2023\r\n5. עבר את כל הטיפולים במוסך מורשה יונדאי (כולל היסטוריית טיפולים)\r\n6. ח. מגנזיום\r\n7. Mobileye &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; ח. מגנזיום\r\n Mobileye']",,28000,,
יונדאי,2021,i20,2,אוטומטית,1000,בנזין,,,בקעת אונו,יהוד מונוסון,87000.0,1.0,19/04/2022,19/04/2022,['רכב חדש עדיין באחריות'],,7800,,
הונדה,2008,סיוויק סדאן,3,ידנית,1800,בנזין,פרטית,פרטית,מודיעין והסביבה,מודיעין,24000.0,3.0,18/03/2024,25/03/2024,['ידנית נדירה ומיוחדת מושקעת בהרבה זמן וכסף מטופלת כל 8000 עברה פחחות וצבע ברמה גבוהה מאוד יש מערכת שמע בשווי של 3000₪ יש ריפודים מולטימדיה מצלמת דרך קידמית ואחורית חלונות שחורים ועוד האוטו נראה ומרגיש חדש כל הידים פרטיות(עבר מחבר לחבר) מוכר כי אני בישיבה ואין לי איך להחזיק אותו רק שיחה אין ווצאפ '],לבן שנהב,248,,
שברולט,2020,ספארק,1,אוטומטית,"1,400",בנזין,פרטית,פרטית,ירושלים והסביבה,קרית יערים,59000.0,1.0,10/05/2023,14/05/2023,['שמור ומטופל  דגם מפואר'],לבן,60000,,
סיטרואן,2017,CX,1,ידנית,1500,דיזל,,,עמק יזרעאל,מגדל העמק,60000.0,1.0,20/07/2022,20/07/2022,['רכב אחרי מנוע מייבוא חדש שטר מכר\r\nצמיגים חדשים.\r\nפרונט\r\nטורבו חדש\r\nפלאנץ חדש\r\nאלטרנטור חדש.'],,23000,,0.0
קיה,2015,ספיה,2,אוטומטית,1600,בנזין,,,מושבים בשרון,תנובות,74000.0,0.0,24/09/2022,24/09/2022,"['מציאה קיה ספורטג שמורה מאוד מעט קילומטר, טסט לשנה, &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; דיוידי חדש 9']",,62000,,0.0
פורד,2017,פוקוס,2,אוטומטית,1450,בנזין,,,נתניה והסביבה,נתניה,46000.0,0.0,20/09/2022,20/09/2022,[nan],,,,
טויוטה,2017,קאמרי,2,אוטומטית,2500,היבריד,פרטית,פרטית,אשדוד - אשקלון,אשדוד,85000.0,4.0,02/06/2023,02/06/2023,['2 ידיים פרטיות\nשמור נקי מטופח ומטופל בזמן\nטסט ארוך\n\nיש ספר טיפולים \nבמצב הצגה\nמגוון תוספות'],שחור,126000,,
פיג'ו,2018,5008,2,אוטומטית,1600,דיזל,פרטית,פרטית,מודיעין והסביבה,מודיעין עילית,82000.0,4.0,25/10/2023,25/10/2023,"['[\'דגם פרימיום כל התוספות.גג נפתח מושבי עור מתכווננים.מושב נהג חשמלי.חימום מושבים.\', ""תוספות גגון פיג\'ו מקורי""]']",לבן,190000,,846.0
שברולט,2015,אימפלה,3,אוטומטית,"3,600",בנזין,,,"ראשל""צ והסביבה",ראשון לציון,83000.0,0.0,14/05/2022,14/05/2022,[nan],,165000,,
רנו,2013,רנו פלואנס,5,,1600,דיזל,,,כרמיאל והסביבה,כרמיאל,25000.0,1.0,09/04/2022,09/04/2022,"['רכב יפה, בלי תאונות, חסכוני מאוד ואמיץ, טסט לשנה']",,197000,-280,
טויוטה,2014,קורולה,3,אוטומטית,1600,בנזין,השכרה,פרטית,ירושלים והסביבה,ירושלים,55000.0,7.0,04/12/2022,04/12/2022,['רכב שמור נקי גיר מנוע \nלאחרונה עבר טיפול במוסך ל 10000 4 צמיגים חדשים \nטסט כמעט לשנה \nמאוד רכב מוצלח \nמכירה עקב חידוש רכב מחברה'],לבן מטאלי,213000,,
פולקסווגן,2017,גולף,2,אוטומטית,1400,בנזין,,,פתח תקוה והסביבה,מגשימים,84000.0,0.0,03/09/2022,03/09/2022,['רכב שמור שימש רכב שני'],,59000,,
יונדאי,2018,i10,3,אוטומטית,1200,בנזין,,,אשדוד - אשקלון,אשדוד,55000.0,0.0,10/10/2022,10/10/2022,['דגם prime. מערכת מולטימדיה וחיישני ומצלמת רוורס'],,75000,,
פולקסווגן,2013,פולו,1,אוטומטית,1390,בנזין,,,חיפה וחוף הכרמל,חיפה,33000.0,1.0,21/10/2022,21/10/2022,"['רכב פרטי יד ראשונה שמור במצב מצוין. ק""מ נמוך פחות מ 10 אלף לשנה. צבע אורגינאלי טסט חצי שנה. מטופל במוסך מורשה. ללא תאונה וללא פחת ברכב']",,98000,,
מאזדה,2013,מאזדה 5,3,אוטומטית,2000,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,39000.0,3.0,03/09/2023,10/12/2023,"['מצב מצוין, צמיגי CONTINENTA, מערכת+ מצלמה קדמית ואחורית, הטלפון ללא קבלת הודעות. נא לא להתקשר בשבת!\n']",אפור מטאלי,193000,,580.0
מאזדה,2008,6,2,אוטומטית,1999,בנזין,,,חולון - בת ים,חולון,20000.0,1.0,28/05/2022,28/05/2022,['רכב שמור ומטופל------מצב מעולה'],,130415,,
קיה,2016,פיקנטו,1,אוטומטית,1000,בנזין,השכרה,השכרה,רעננה - כפר סבא,רעננה,25000.0,3.0,10/11/2023,10/11/2023,"['רכב שמור מטופל ,ללא תאונות ,יד ראשונה ישירות מחברת ההשכרה']",כסוף מטאלי,155000,,24.0
פולקסווגן,2016,ג'טה,1,אוטומטית,1400,בנזין,פרטית,פרטית,,בוקעתא,62000.0,3.0,09/02/2022,22/02/2022,"[""פולקסווגן ג'טה, יד ראשונה, 151000 קילומטרים רכב שמור מאוד דגם מפואר הנעה ללא מפתיח + מולטימדיה+ חיישני רוורס +מראות מתקפלות + מובילאיי טכנולוגיה מהפכנית המסייעת במניעת תאונות דרכים ,טיפול חדש (150000km) . צמיגים חדשים ,מצבר חדש .טסט חדש""]",כסף מטלי,151000,,
טויוטה,2017,אונסיס,2,אוטומטית,1800,בנזין,,,קריות,קרית מוצקין,75000.0,2.0,21/07/2022,21/07/2022,['הרכב במצב חדש מטופל בחברה שמור מאוד לרצינים בלבד מתחייב בבדיקה חזק מאוד יציב חסכוני בדלק &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מותקן ברכב מכשיר מד מרחק בזהירות בנוסף עם מצלמת רוורס עם שומרי מרחק חיישני רוורס'],,115000,,
מרצדס,2010, E-Class קופה / קבריולט,3,אוטומטית,3500,בנזין,פרטית,פרטית,,סח'נין,85000.0,4.0,17/12/2022,19/02/2023,['e350coupe\nרכב עם 130000 ק״מ\nמנוע 3500 כ״ס 306'],שחור,130000,,
קיה,2019,פיקנטו,2,אוטומטית,1200,בנזין,פרטית,פרטית,גליל ועמקים,קרית שמונה,68000.0,5.0,04/07/2023,04/07/2023,"['רכב שמור מאד כמעט לא נסע 54,000 קמ""ש']",לבן,54000,,
שברולט,2017,ספארק,2,אוטומטית,"1,500",בנזין,השכרה,פרטית,באר שבע והסביבה,אופקים,38000.0,3.0,29/05/2023,29/05/2023,['שברולט ספארקשנה 2017 יד 01 נהגת יחידה קמ 124 טסט עד חודש 7 גיר אוטומט האוטו מטופל כל 8 אלף קמ מטופל ושמור מאווד אחרי טיפול גדול מובילאיי  חייסני רוורס מצברצמיגים חדשים ברקסיםשמניםפילטרים הכול חדש במחיר טוב להיום רק ב40 אלף גמיש ליד הרכב לעוד פרטים 0548007291 זמין גם בוואצפ'],לבן פנינה,124000,,
קיה,2011,סיד,2,אוטומטית,1600,בנזין,ליסינג,פרטית,ראש העין והסביבה,ראש העין,20500.0,1.0,18/03/2022,18/03/2022,"['טסט ארוך, 196 קילומטרז']",לבן,,,13.0
שברולט,1998,טראקס,3,אוטומטית,6500,טורבו דיזל,,,בקעת אונו,גבעת שמואל,24000.0,0.0,09/07/2022,09/07/2022,['No description'],,250000,,1.0
הונדה,2011,ג`אז,1,לא מוגדר,1300,בנזין,לא מוגדר,לא מוגדר,פרדס חנה - כרכור,פרדס חנה כרכור,26000.0,1.0,27/08/2022,27/08/2022,"['\r\nהערות: מכונית נהדרת! מרווחת בפנים, קטנה בחוץ. נהגת יחידה. טסט ל 8 חדשים. 2 ח""ח, רדיו-דיסק מקורי, התראת רברס, ABS, כריות אויר, נעילה מרכזית+אזעקה, טלפון. מצבר חדש, מנוע 2013 מושבים אחוריים מתקפלים ומגדילים מאד את המקום למטען']",,197000,,
מאזדה,2010,מאזדה 5,3,אוטומטית,2000,בנזין,פרטית,פרטית,נס ציונה - רחובות,רחובות,35000.0,6.0,05/12/2023,05/12/2023,"[""על הרכב\nיש לרכב וו גרירה ג'נטים הרכב 7 מקומות מטופל כולל טסט לשנה במצב מעולה מתוחזק מטופח אפשר לראות בתמונות שהוא במצב מעולה""]",כסוף,303170,207,1444.0
קיה,2021,פיקנטו,2,אוטומטית,1250,בנזין,,,קריות,רכסים,83000.0,1.0,27/10/2022,27/10/2022,['רכב במצב חדש עם כול התוספות מתחייב בבדיקה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; כול התוספות כולל מצלמת דרך'],,16000,,
סובארו,2015,אימפרזה,2,אוטומטית,1600,בנזין,פרטית,פרטית,פתח תקוה והסביבה,פתח תקווה,49000.0,40.0,15/03/2022,03/04/2022,"['מ-צ-י-א-ה! ! !\n\nרכב שמור ומטופל במוסך מורשה ומקורי של סובארו, \n\nנוח מאוד, לא נסע! רק 72,000 ק״מ שנת 2015.\n\nהרכב הינו של אדם מבוגר מאוד ששמר עליו בקפידה.\n\nהוספות-\n# חיישני רוורס.\n# מצלמת רוורס.\n# מערכת מולטימדיה חדשה ומתקדמת ביותר.\n# שמשיות אחוריות השומרות על טמפרטורת הרכב. \n# צבע פנינה עם עיטורים.\n# מערכת כיבוי רכב אוטומטי בעת עצירה.\n\nכל מי שרציני בלבד מוזמן לפנות אליי.\nלא בשבת.\n\n0528522444']",לבן פנינה,71560,,
פולקסווגן,2017,ג'טה,2,אוטומטית,1200,בנזין,ליסינג,פרטית,עמק יזרעאל,עפולה,57000.0,3.0,02/11/2021,02/11/2021,['רכב מטופל כל 10 אלף\r\nטסט לשנה\r\nצב לבן נקי ושמור פנים וחוץ\r\nמערכות מניעת תאונות ועוד'],לבן,140000,,
ניסאן,2016,ניסאן אלתימה,3,אוטומטית,1600,דיזל,פרטית,פרטית,פתח תקוה והסביבה,פתח תקווה,65000.0,0.0,10/01/2024,08/02/2024,"['במצב מעולה, בלי תאונות.']",לבן שנהב,80000,81,
פולקסווגן,2017,פאסאט,4,אוטומטית,1800,בנזין,ליסינג,פרטית,עמק יזרעאל,עפולה,84000.0,17.0,20/01/2022,20/01/2022,['רכב במצב חדש .מצבר חדש משאבת דלק חדשה מגבים חדשים'],לבן שנהב,124000,,
סיטרואן,2015,C3,2,אוטומטית,1600,בנזין,,,חיפה וחוף הכרמל,טירת כרמל,40000.0,1.0,28/09/2022,28/09/2022,"['דגם המפואר PK , יד 2 פרטית (ראשונה גם פרטית ) , שמורה במצב מעולה כחדשה , ללא תאונות , נהגת יחידה , מטופלת במוסכי החברה בלבד !! \r\nלרציניים גמיש מעט במחיר &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; חיישני רוורס']",,49000,,554.0
יונדאי,2019,i10,1,אוטומטית,1200,בנזין,,,עכו - נהריה,נהריה,58000.0,0.0,15/06/2022,15/06/2022,['רכב חדש נקנה מהסוכנות שמור בלי תאונות היה אצל אישה מבוגרת בקושי נסע שמור ומטופח &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת למינעת תאונות מוביליי\r\nטסט לשנה\r\nנקנה מהסוכנות 0 קמ בעלות פרטית'],,50000,,
טויוטה,2017,קורולה,1,אוטומטית,1598,בנזין,,,אשדוד - אשקלון,אשדוד,90000.0,2.0,14/05/2022,14/05/2022,['רכב ללא תאונות מצב מכני מצוין צמיגים חדשים מתוחזק היטב &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מצלמת רוורס חיישני לחץ אווירר בצמיגים ועוד'],,60000,,
קיה,2018,פיקנטו,1,אוטומטית,1250,בנזין,,,נס ציונה - רחובות,קרית עקרון,73000.0,1.0,25/08/2022,25/08/2022,"['רכב שמור במצב חדש, 14,500 ק""מ בלבד, טסט לשנה. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; עדיין באחריות יצרן.']",,14500,,
טויוטה,2014,אוריס,2,אוטומטית,1800,בנזין,ליסינג,פרטית,בקעת אונו,אור יהודה,55000.0,2.0,21/06/2023,21/06/2023,"['מכונית במצב חדש לא עברה שום פגע, הוחלף מצבר כלפני שנה']",לבן שנהב,148000,,
פולקסווגן,2018,פולו,3,אוטומטית,1000,בנזין,פרטית,פרטית,רמת השרון - הרצליה,הרצליה,89000.0,0.0,09/09/2021,05/10/2021,['הרכב מצב מצוין כמו חדש מטופל רק בחברה כמו לקנות רכב חדש מהחברהm .\r יש ברכב את כל התוספות האפשריות כולל סאן רופ ( גג נפתח ) גאנטים חדשים של gti והצבע המיוחד ביותר שיש להציע בהזמנה מראשh'],זהב מטאלי,50000,,
קיה,2015,פיקנטו,4,ידנית,1200,בנזין,פרטית,פרטית,חדרה וישובי עמק חפר,חדרה,31000.0,3.0,03/10/2023,03/10/2023,"[""רכב בצורת רכב ספורט. מתאים לאנשים עם רוח צעירה . חסכוני מאוד, מתאים לאנשים שרוצים אוטו חדש וזול בתחזוקה . אוטו אמין בטירוף וירידת ערך נמוכה קילומטרז' נמוך שמור . לא להתבייש לחפור""]",שחור,72000,,20.0
הונדה,2018,סיוויק האצ'בק,2,אוטומטית,1000,בנזין,ליסינג,פרטית,אשדוד - אשקלון,אשקלון,75000.0,5.0,24/05/2022,05/06/2022,"[""רכב נוח ובטיחותי מאוד על הכביש.\nהרכב ניראה מצוין ושמור מאוד (נשטף כל שבוע פנימית חיצונית).\nנוספו ג'אנטים, השחרת מראות וסמלים ומערכת אנדרואיד הכוללת מצלמת רוורס וחיישני חניה.\nהרכב עבר טיפול גדול בחברה של טיימינג, שמן ובנוסף הוחלפו ברקסים וצמיגים.\nהאוטו שימש בעיקר נסיעות לטווח הקצר ביד הנוכחית.\nכל הקודם זוכה!!!""]",אפור עכבר,118000,,
טויוטה,2020,יאריס,1,אוטומטית,1500,היברידי,,,הוד השרון והסביבה,הוד השרון,94000.0,2.0,02/11/2022,02/11/2022,['רכב משודרג עם מערכת מולטימדיה משוכללת מצלמת דרך &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מטופל במוסך טויוטה'],,42000,,
הונדה,2016,CIVIC,1,אוטומטית,1799,בנזין,,,"ראשל""צ והסביבה",ראשון לציון,65000.0,1.0,19/04/2022,19/04/2022,"['יד ראשונה פרטי במצב מצויין!!  ללא תאונות, כל הטיפולים נעשו בזמן במוסך מורשה']",,135000,,2507.0
טויוטה,2015,קורולה,1,אוטומטית,1600,בנזין,,,,כסיפה,50000.0,2.0,31/07/2022,31/07/2022,['טיוטה קרולה. שנת 2015 שמורה .מתחייב בבדיקה אוטו אמין ללא תקלות. נהג יחיד גמיש במחיר המחירון הוא 62000 .כל הכודם זוכה .'],,200000,,
מאזדה,2013,מאזדה 3,3,אוטומטית,1500,בנזין,פרטית,פרטית,פתח תקוה והסביבה,פתח תקווה,40000.0,4.0,14/01/2024,14/01/2024,[nan],לבן,144000,01/11/2024,
מאזדה,2008,מאזדה 3,3,אוטומטית,2000,בנזין,פרטית,פרטית,חולון - בת ים,בת ים,23000.0,8.0,26/08/2023,26/08/2023,[nan],לבן,165516,,
ב.מ.וו,2010,530,4,אוטומטית,3000,בנזין,,,,כפר כנא,90000.0,1.0,10/10/2022,10/10/2022,[nan],,210,,201.0
טויוטה,2014,פריוס,2,אוטומטית,1800,בנזין,,,ירושלים והסביבה,גבע בנימין,92500.0,2.0,21/09/2022,21/09/2022,['פריוס פלוס 7 מקומות יד 2 157000 קמ מצב מצוין 4 צמיגים חדשים טסט אוג 23 חסכוני מאוד אחריות על הבטריה'],,,,
יונדאי,2022,i10,1,אוטומטית,1200,בנזין,פרטית,פרטית,אשדוד - אשקלון,אשדוד,80000.0,4.0,13/09/2023,13/09/2023,"['רכב חדש, חסכוני, דורש מחירון']",אפור מטאלי,8000,3,
טויוטה,2015,פריוס,3,אוטומטית,1800,היברידי,,,ראש העין והסביבה,אלעד,72000.0,2.0,04/07/2022,04/07/2022,"['רכב שמור. נראה כחדש. פרטי מנוע בנזין היברידי חסכוני מאוד 1/20 שקט נסיעה נוחה מנוע 1798 . 134כ""ס &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; חלונות חשמל. שלט חכם. מסך מולטימדיה. חלונות כהים. ריפוד עור . אבזור בטיחותי 5\r\nמזגן\r\nABS\r\n4 חלונות חשמל\r\nהגה כוח\r\n7 כריות אויר\r\nהנעה 4X2\r\nמצלמת רוורס\r\nגלגלי מגנזיום\r\nבקרת יציבות\r\nמערכת עזר לבלמים\r\nחיישני לחץ אויר בצמיגים']",,149000,,
קיה,2012,פיקנטו,1,אוטומטית,1200,בנזין,פרטית,פרטית,תל אביב,תל אביב יפו,29000.0,5.0,27/07/2023,27/07/2023,"['הנחה גדולה! 5000 ש""ח פחות מהמחירון! הכל עובד פיקס! במרץ עברה טיפול 10,000.הוחלף פילטר למזגן. טסט עד מרץ 24. הגגון לא נשאר. 146,000 ק""מ. דיבורית bluetooth לשיחות טלפון בשמחה לעשות בדיקה. נמצא בת""א ליד תחנת רכבת ארולוזורב. תוספות bluetooth דיבורית, מתקן לטלפון']",שחור,146000,,4.0
מרצדס,2023, E-Class,4,אוטומטית,2500,בנזין,חברה,פרטית,אשדוד - אשקלון,אשדוד,86000.0,4.0,09/12/2023,09/12/2023,"['לנקות את קארפקס! מיילים נמוכים במיוחד!!\n\n""המהדורה הסופית, מוגבלת ל-999 יחידות וזמינה בצורות סלון ואחוזה, תהיה ההזדמנות האחרונה שלך לרכוש את ה-V8 בי-טורבו בנפח 604 כ""ס, 4.0 ליטר לפני ההכלאה גורפת פנימה עם ה-Mk6.\nכפי שהייתם מצפים, יש כמות מתאימה של עיטור מיוחד כדי להפוך את המכונית לראויה להידרדר אחרון, עם סגסוגות שחורות מזויפות בגודל 20 אינץ\', צבע מגנו גרפיט מט, ובנוסף - באדיבות חבילת הלילה של AMG - אלמנטים שונים שחור מבריק הכוללים את החזית מפצל, פסי עיטור, מקיפות חלונות ובית מראה.\nצנרת תאומים כרום שחורה הושלכו פנימה, וישנה זכוכית כהה מעמוד ה-b לאחור. סמלי AMG על עמודי ה-c יזכירו למשתמשי כביש אחרים את העליונות הצפויה שלכם במקרה של מירוץ דראג מאולתר.""-Top Gear\n\n\n*****ניווט*****BLUETOOTH*****מערכת גיבוי******מחיר מקורי 169,930$**מהדורה סופית 1 מתוך 99 (DV8) 56,113$****ביצועי סדאן מדהימים** סיבי AMG סיבי פחמן $2,850**מיוצר כותרות מיקרופייבר שחורות $1,600**גג PAMORAMA $1,000**גלגל הגה AMG בעור NAPPA/ALCANTARA $500**מגן חלונות אחורי כוח $440']",אפור,6351,,
הונדה,2006,סיוויק,5,אוטומטית,1800,בנזין,פרטית,פרטית,רמת גן - גבעתיים,בני ברק,19000.0,0.0,19/12/2022,19/12/2022,"['הבובה שלי למכירה😭😭😭😂😂\nרכב מפנק ונוח נקי ומסודר מושקע ברמות מטורפות עם מערכת מוזיקה משוגעת בשווי של כ 4000 שקל, כל הרמקולים חדשים חברה פצצה, מסך טאצ 10 אינץ מגבר וסאב וופר מטורף שיקפיץ לכם את הנסיעה רכב חסכוני בטירוףףףף עם מערכת גז של 48 ליטר בשווי של 6000 שקל מגיע עם סידרת טיפולים של החלפות פילטרים וניקוי בלון וגם הרכב מטופל כמו שעון לא נכסך בשקל, צמיגי מישלן בקיצור בלי להאריך בובה של רכב❤️🥰']",בז' מטאלי,255000,,
יונדאי,2016,i10,1,אוטומטית,998,בנזין,,,רמת השרון - הרצליה,הרצליה,45000.0,1.0,31/10/2022,31/10/2022,"['רכב נפלא, יד ראשונה פרטי. נמכר עקב מעבר לרכב משפחתי גדול. לאחר טיפול גדול במוסך רשמי + החלפת בלמים + החלפת גלגלים לגלגלי good year (יש קבלות ואחריות). ישנן שריטות פח, ניתן לראות בתמונות. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מובילאיי']",,108850,,
יונדאי,2016,סונטה,2,אוטומטית,2000,היברידי,,,טבריה והסביבה,טבריה,89000.0,1.0,01/11/2022,01/11/2022,['רכב שמור מאוד כולל תוספות טיפולים במוסך יונדאי מורשה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מסכים'],,149000,,
מאזדה,2016,מאזדה 3,1,אוטומטית,1500,בנזין,פרטית,פרטית,חולון - בת ים,בת ים,49000.0,2.0,10/09/2023,11/03/2024,[nan],לבן,,,5609.0
מאזדה,2015,מאזדה 2,3,אוטומטית,1500,בנזין,פרטית,פרטית,פתח תקוה והסביבה,פתח תקווה,46000.0,3.0,03/01/2023,23/05/2023,"['רכב שמור וחסכוני מטופל בזמן ובקפידה לאחר ברקסים, מתחייב מנוע גיר ושילדה,הדגם עם הגאנטים והחלונות הכהים, יד 02 פרטי,הכל רשום לרציניים בלבד']",אפור,125000,,3349.0
יונדאי,2013,i40,4,אוטומטית,"2,000",בנזין,פרטית,פרטית,נס ציונה - רחובות,רחובות,33000.0,6.0,04/04/2024,04/04/2024,['רכב במצב חדש מולטימדיה צמיגים גנטים 147 ק״מ'],אפור,"147,000",109,
טויוטה,2015,קורולה,1,אוטומטית,1600,בנזין,פרטית,פרטית,בית שמש והסביבה,בית שמש,65000.0,2.0,18/01/2023,18/01/2023,['מצב מצויין. Gli הדגם המפואר.מטופל רק במוסך המרכזי של טויטה.'],לבן פנינה,187000,,
הונדה,2016,סיוויק סדאן החדשה,1,אוטומטית,1799,בנזין,לא מוגדר,לא מוגדר,"ראשל""צ והסביבה",ראשון לציון,65000.0,1.0,19/04/2022,19/04/2022,"['יד ראשונה פרטי במצב מצויין!!\r\nללא תאונות, כל הטיפולים נעשו בזמן במוסך מורשה']",,135000,,
פולקסווגן,2016,גולף,2,אוטומטית,1400,בנזין,פרטית,פרטית,גליל ועמקים,קרית שמונה,70000.0,4.0,13/12/2023,13/12/2023,['תוספותאקזוז עם קפטורים on/off נשטפ רק ידני בחומרים הכי טובים מדבקת צבע עם אחריות 7 שנים מושקע מעל 40 אלף\nמתחיב בבדיקה גיר מנוע שלדה'],ירוק בהיר,160000,,
יונדאי,2013,ולוסטר,5,אוטומטית,"1,600",בנזין,פרטית,פרטית,נס ציונה - רחובות,נס ציונה,42000.0,2.0,24/01/2023,24/01/2023,['צריך לעשות טסט חודש הבא\nאוטו מפנק \nללא תקלות \nחלון בגג \nגלגלי מגנזיום \nגיר שילדה מנוע תקינים \nלא לבלבל את המוח'],ירוק,190,,
מאזדה,2014,מאזדה 3,3,טיפטרוניק,1500,בנזין,ליסינג,פרטית,רעננה - כפר סבא,כפר סבא,45000.0,7.0,14/05/2023,14/05/2023,['מזדה 3 2014 מצב מצוין\n טסט עד חודש 8 \n144500 קילומטר \nמצבר חדש \nמשולשים \nברקסים \n\nרכב שלא רואה מוסך'],כחול כהה מטאלי,144500,,6917.0
הונדה,2015,JAZZ,1,אוטומטית,1300,בנזין,,,,פתח תיקווה,64000.0,1.0,31/07/2022,31/07/2022,['רכב שמור קמ נמוך מאוד מופל רק במוסך הונדה ספר טיפולים הרכב עם רמת גימור המםוארת קומפורט מולטימדיה מקורית כולל מצלמת רוורס מקורית שווה לראות מציאה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מצךמת רוורס רכב חיסכוהי בדלק מרווח מאוד מבפנים '],,60000,,1014.0
טויוטה,2018,יאריס,1,אוטומטית,1496,בנזין,,,באר שבע והסביבה,קרית גת,82000.0,2.0,12/07/2022,12/07/2022,"['במצב מצוין,כולל מצלמת רכב.']",,18700,,
סיטרואן,2014,DS3,3,אוטומטית,1600,בנזין,,,מודיעין והסביבה,מודיעין מכבים רעות,28000.0,1.0,14/10/2022,14/10/2022,"['אוטו במצב מצויין, מטופח עם טסט לשנה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת']",,110,,23.0
סובארו,2016,XV,3,אוטומטית,1600,בנזין,,,באר שבע והסביבה,להבים,65000.0,14.0,20/08/2022,20/08/2022,"['רכב במצב מצויין. מטופל במוסך מורשה סוברו. צמיגים חדשים, מצבר חדש.']",,107000,,767.0
שברולט,2016,ספארק,1,אוטומטית,"1,400",בנזין,,,ירושלים והסביבה,בית זית,51000.0,0.0,24/09/2022,24/09/2022,['יד ראשונה כמו חדש'],,70000,,
